ChildDate	ChildCountry	ParentCountry	ParentDate
2022.67673205259	Belgium	Peru	2022.45974205259
2023.01919205349	Other_South_America	Japan	2022.91454205349
2022.91234205339	USA	Peru	2022.87668205339
2022.93152205439	Peru	USA	2022.90412205439
2022.81373205299	Other_North_America	USA	2022.76441205299
2022.61920205279	Other_Oceania	Peru	2022.58775205279
2022.88768205289	Germany	Brazil	2022.72587205289
2022.84111205289	Colombia	Brazil	2022.79898205289
2022.92604205289	Colombia	Brazil	2022.74204205289
2022.83562205279	Colombia	Brazil	2022.76602205279
2022.93973205299	USA	Brazil	2022.76602205299
2022.98904205309	Other_Europe	USA	2022.96384205309
2022.91508205299	Colombia	Brazil	2022.83663205299
2022.85480205309	Colombia	Brazil	2022.84932205309
2022.85479205299	USA	Peru	2022.85205205299
2022.83015205309	USA	Peru	2022.71597205309
2023.02741205319	USA	Other_North_America	2022.91227205319
2022.90960205329	Chile	Peru	2022.72003205329
2022.87947205319	USA	Peru	2022.76879205319
2023.01372205319	USA	Peru	2022.88769205319
2022.92878205309	Colombia	Peru	2022.58408205309
2022.90961205329	Spain	Peru	2022.79978205329
2023.09866205329	Canada	Other_Europe	2022.91358205329
2022.92330205339	Chile	Peru	2022.78608205339
2022.92057205359	USA	Peru	2022.80902205359
2022.89043205359	Colombia	Peru	2022.80902205359
2022.94523205399	Peru	USA	2022.83526205399
2022.85208205409	Colombia	USA	2022.83526205409
2022.92605205419	Colombia	USA	2022.83526205419
2022.88496205419	Chile	USA	2022.87497205419
2022.92605205429	Colombia	USA	2022.92605205419
2023.03838205399	USA	Peru	2022.87372205399
2022.92604205329	Canada	Peru	2022.63879205329
2022.90960205329	USA	Peru	2022.87658205329
2023.06302205409	USA	Peru	2022.84839205409
2023.12329205419	Sweden	USA	2022.87412205419
2022.86849205449	Other_South_America	Peru	2022.85456205449
2022.89589205449	Chile	Peru	2022.85456205449
2022.90685205409	USA	Peru	2022.88045205409
2022.88219205419	Chile	USA	2022.87945205419
2023.02741205409	Canada	Peru	2022.94225205409
2022.92329205439	Chile	Peru	2022.91892205439
2022.95343205449	Chile	Peru	2022.79627205449
2022.91233205419	Colombia	Peru	2022.84053205419
2022.94520205399	Canada	Peru	2022.85479205399
2022.91507205379	Peru	Other_North_America	2022.90411205379
2022.92055205439	USA	Peru	2022.82180205439
2022.88220205449	Other_Europe	Peru	2022.85735205449
2022.90959205459	USA	Peru	2022.88962205459
2022.89864205459	USA	Peru	2022.86620205459
2022.92878205449	USA	Peru	2022.83523205449
2022.92604205449	Canada	Peru	2022.83523205449
2022.90686205449	USA	Peru	2022.83523205449
2022.93152205429	Peru	USA	2022.85568205429
2023.02740205429	Other_North_America	USA	2022.87183205429
2023.12055205439	USA	Canada	2023.06566205439
2022.93698205439	Canada	USA	2022.92861205439
2022.94246205429	Canada	USA	2022.93961205429
2022.96713205319	USA	Peru	2022.71583205319
2022.92603205319	Canada	Peru	2022.78043205319
2022.97535205339	USA	Peru	2022.85741205339
2022.91507205329	USA	Japan	2022.90959205329
2022.85206205319	Other_Europe	Peru	2022.72410205319
2022.88767205339	Brazil	Peru	2022.82345205339
2023.00001205359	Chile	Brazil	2022.86012205359
2022.93151205319	Peru	USA	2022.87804205319
2022.99180205319	Spain	USA	2022.88967205319
2022.89316205319	Peru	USA	2022.89296205319
2022.87123205319	Denmark	Peru	2022.81573205319
2022.91232205329	Chile	Peru	2022.88739205329
2022.91232205339	Chile	Peru	2022.88739205339
2022.92602205319	Canada	Peru	2022.81989205319
2022.98630205319	Chile	Peru	2022.91422205319
2022.92603205329	Canada	Peru	2022.92603205319
2022.94795205359	Other_North_America	Peru	2022.91502205359
2022.93973205419	USA	Sweden	2022.84384205419
2022.87672205429	Germany	Sweden	2022.84384205429
2022.92329205449	USA	Sweden	2022.84384205449
2022.92056205409	USA	Sweden	2022.87661205409
2023.08767205449	Germany	Sweden	2022.96378205449
2023.18083205449	Other_Europe	Sweden	2022.96378205449
2023.00548205439	Other_Europe	Sweden	2022.92992205439
2022.89589205399	USA	Sweden	2022.89027205399
2023.09589205389	Germany	Sweden	2022.92623205389
2023.00823205389	USA	Sweden	2022.92748205389
2023.02193205399	Other_Europe	Sweden	2022.92748205399
2023.05207205399	Germany	Sweden	2022.92999205399
2023.11783205399	Germany	Sweden	2022.95043205399
2022.99180205409	USA	Sweden	2022.98426205409
2023.02468205419	Denmark	Sweden	2022.99090205419
2023.03837205419	Canada	Denmark	2023.00323205419
2023.06029205419	USA	Denmark	2023.00323205419
2022.98630205459	Other_Europe	Sweden	2022.88823205459
2023.02466205469	Denmark	Sweden	2022.92849205469
2022.94521205429	USA	Sweden	2022.91437205429
2022.86849205419	Sweden	USA	2022.86575205419
2022.87396205419	Sweden	Other_Europe	2022.87122205419
2023.06301205419	Germany	Sweden	2022.91452205419
2023.01095205429	Other_Europe	Sweden	2022.91480205429
2023.12054205419	Other_Europe	Sweden	2022.93175205419
2022.95067205429	Denmark	Sweden	2022.94263205429
2022.94793205429	Denmark	Sweden	2022.94514205429
2022.98628205429	Denmark	Sweden	2022.98206205429
2022.96711205429	Other_Europe	Denmark	2022.96432205429
2022.96985205419	Sweden	Denmark	2022.96659205419
2022.99177205419	Sweden	Denmark	2022.98434205419
2023.00547205429	USA	Denmark	2022.98671205429
2022.96714205349	USA	Peru	2022.81569205349
2022.96166205359	USA	Peru	2022.69879205359
2022.93152205369	Belgium	Peru	2022.84816205369
2022.93700205379	Belgium	Other_Europe	2022.87184205379
2022.94522205399	Other_Europe	Canada	2022.91393205399
2022.92056205439	Chile	Peru	2022.89768205439
2022.92604205419	Other_Europe	Peru	2022.92581205419
2022.96438205449	Peru	Other_Asia	2022.91378205449
2022.88768205459	Other_Europe	USA	2022.82183205459
2022.93152205459	Germany	USA	2022.84444205459
2022.91783205469	USA	Peru	2022.84922205469
2022.92056205459	Other_Oceania	Peru	2022.87531205459
2022.91508205429	USA	Peru	2022.91453205429
2022.90139205419	Other_Europe	Peru	2022.81646205419
2022.96988205429	Other_Europe	Peru	2022.91500205429
2022.94522205429	Chile	Peru	2022.82161205429
2022.92331205449	USA	Peru	2022.87371205449
2023.04387205439	USA	Peru	2022.88789205439
2022.95894205439	Chile	Peru	2022.89011205439
2022.94525205439	Peru	USA	2022.94473205439
2022.95073205449	Other_North_America	USA	2022.94473205449
2022.94247205429	Chile	Peru	2022.91496205429
2022.93152205419	Chile	Peru	2022.85777205419
2022.89590205409	Spain	Peru	2022.77897205409
2022.89315205409	USA	Peru	2022.89123205409
2022.85974205339	Japan	Peru	2022.82167205339
2022.90412205439	USA	Peru	2022.90138205439
2022.92558205359	USA	Peru	2022.86024205359
2022.73913205299	USA	Peru	2022.47278205299
2022.72587205279	Brazil	Peru	2022.48376205279
2022.75677205289	Peru	Brazil	2022.74204205289
2022.75892205289	Spain	Peru	2022.75677205289
2022.81097205289	Other_Europe	Spain	2022.75892205289
2022.83015205279	Colombia	Brazil	2022.77221205279
2022.94499205279	USA	Colombia	2022.83837205279
2022.77300205299	Peru	Brazil	2022.76602205299
2022.91187205299	USA	Peru	2022.84587205299
2022.86197205299	USA	Peru	2022.85990205299
2022.87945205299	Peru	USA	2022.87671205299
2022.85982205299	Peru	Brazil	2022.82174205299
2022.92603205299	USA	Brazil	2022.83509205299
2022.91358205329	Other_Europe	Peru	2022.80276205329
2022.83526205389	USA	Peru	2022.80902205389
2022.95343205339	USA	Peru	2022.88982205339
2022.91672205419	Chile	Peru	2022.91502205419
2022.98278205409	USA	Peru	2022.87539205409
2022.96410205399	Chile	Peru	2022.87539205399
2022.89908205449	USA	Peru	2022.87636205449
2022.91314205449	Other_Asia	Peru	2022.91134205449
2022.82183205439	USA	Peru	2022.77231205439
2023.09012205459	Canada	USA	2022.91478205459
2022.83015205459	Peru	USA	2022.82818205459
2022.84444205459	USA	Peru	2022.83015205459
2022.87672205459	Other_Europe	USA	2022.87470205459
2022.91228205459	USA	Other_Europe	2022.87672205459
2022.86692205469	Peru	USA	2022.85739205469
2022.83014205479	Peru	USA	2022.82183205479
2022.91393205389	Canada	Peru	2022.84816205389
2022.85996205379	Belgium	Peru	2022.84816205379
2022.87184205379	Other_Europe	Belgium	2022.85996205379
2022.91495205379	Belgium	Other_Europe	2022.87399205379
2022.96400205419	Canada	Peru	2022.91437205419
2022.88930205449	USA	Peru	2022.87371205449
2022.92607205439	USA	Peru	2022.89104205439
2022.84384205409	USA	Peru	2022.83768205409
2022.85754205409	Peru	USA	2022.84384205409
2022.90959205329	Japan	Peru	2022.87397205329
2022.84904205359	Brazil	Peru	2022.82345205359
2022.85749205319	Spain	Peru	2022.82345205319
2022.87563205319	USA	Spain	2022.87389205319
2022.92581205319	Germany	USA	2022.90960205319
2022.93941205319	Peru	Germany	2022.92581205319
2022.84917205319	Sweden	Peru	2022.82191205319
2022.85737205319	Denmark	Sweden	2022.85479205319
2022.86575205319	Peru	Denmark	2022.85737205319
2022.91470205339	USA	Peru	2022.83834205339
2022.93676205339	USA	Peru	2022.87932205339
2022.84384205319	Sweden	Peru	2022.82364205319
2023.09789205479	Other_Europe	Sweden	2022.96717205479
2022.85750205419	USA	Sweden	2022.85479205419
2022.87122205419	Other_Europe	USA	2022.86625205419
2022.87833205419	Sweden	USA	2022.87664205419
2022.88981205419	Sweden	USA	2022.88492205419
2022.98355205429	Denmark	Sweden	2022.96456205429
2022.96432205419	Denmark	Sweden	2022.96116205419
2022.99087205429	Sweden	Denmark	2022.98671205429
2022.93809205409	USA	Sweden	2022.84384205409
2022.98622205399	Canada	Sweden	2022.92875205399
2022.98578205399	Canada	Sweden	2022.92884205399
2022.99117205419	USA	Sweden	2022.98498205419
