ParentRegion,ChildRegion,cantidad_de_movimientos
Lima,Ancash,1556
Lima,Callao,1390
Lima,Cusco,1301
Lima,Tacna,1294
Ancash,Lima,1255
Lima,Junin,1185
Lima,Piura,1068
Cusco,Lima,1058
Lima,Arequipa,1047
Lima,Cajamarca,1031
Tacna,Lima,977
Lima,Loreto,943
Lima,Ica,915
Piura,Lima,874
Callao,Lima,873
Junin,Lima,843
Loreto,Lima,799
Cajamarca,Lima,785
Arequipa,Lima,782
Lima,Ucayali,638
Lima,Tumbes,634
Ica,Lima,603
Lima,La Libertad,597
Lima,Lambayeque,560
Ucayali,Lima,543
Lima,Huanuco,534
Lima,Amazonas,484
Lima,Ayacucho,484
Tumbes,Lima,459
Huanuco,Lima,451
La Libertad,Lima,450
Lima,Moquegua,425
Amazonas,Lima,419
Lambayeque,Lima,412
Lima,Apurimac,399
Ayacucho,Lima,362
Lima,Huancavelica,350
Lima,Madre De Dios,319
Lima,San Martin,304
Apurimac,Lima,303
Moquegua,Lima,281
San Martin,Lima,266
Huancavelica,Lima,250
Madre De Dios,Lima,245
Lima,Pasco,238
Lima,Puno,224
Puno,Lima,196
Cajamarca,Piura,184
Arequipa,Cusco,170
Piura,Cajamarca,169
Cusco,Ancash,164
Pasco,Lima,158
Cusco,Piura,139
Cusco,Arequipa,121
Ancash,Junin,120
Cusco,Tacna,115
Ucayali,Loreto,113
Amazonas,Cajamarca,112
Tacna,Cusco,110
Arequipa,Tacna,109
Loreto,Ucayali,108
Piura,Cusco,107
Ucayali,Huanuco,105
Cajamarca,Amazonas,103
Piura,Ancash,103
Junin,Arequipa,100
Lambayeque,Cajamarca,99
Loreto,Cusco,96
Tumbes,Piura,95
Cajamarca,Lambayeque,94
Ancash,Cajamarca,94
Ancash,Callao,91
Tacna,Ancash,91
Cajamarca,Arequipa,91
Cusco,Cajamarca,90
La Libertad,Ancash,90
Loreto,Ancash,89
Cusco,Apurimac,86
Tacna,Arequipa,86
Ayacucho,Junin,86
Apurimac,Cusco,85
Cajamarca,Ancash,84
Junin,Ancash,83
Cajamarca,La Libertad,83
Callao,Ancash,83
Callao,Cajamarca,78
Callao,Arequipa,78
Cajamarca,Callao,77
Cusco,Junin,77
La Libertad,Cajamarca,77
Arequipa,Ancash,76
Ancash,Piura,75
Piura,Arequipa,74
Arequipa,Cajamarca,74
Junin,Cusco,74
Cusco,Callao,74
Cajamarca,Cusco,74
Amazonas,Piura,73
Loreto,Callao,73
Arequipa,Moquegua,72
Piura,Tumbes,71
Ancash,La Libertad,71
San Martin,Loreto,71
Callao,Cusco,70
Cusco,Ica,69
Arequipa,Callao,68
Ancash,Ica,68
Moquegua,Arequipa,66
Arequipa,Junin,66
Ancash,Tacna,64
Tacna,Moquegua,63
Arequipa,Ayacucho,63
Cusco,Madre De Dios,63
Ica,Arequipa,63
Cusco,Ucayali,63
Callao,Tacna,63
Ancash,Cusco,62
Ancash,Loreto,62
Cusco,La Libertad,62
Lambayeque,Amazonas,61
Junin,Callao,61
Piura,Lambayeque,61
Ucayali,Junin,60
Cusco,Tumbes,60
Arequipa,Madre De Dios,60
Junin,Ica,60
Tacna,Piura,60
Huanuco,Ucayali,59
Tacna,Callao,59
Tacna,Cajamarca,59
Callao,Loreto,58
Arequipa,Apurimac,58
Callao,Piura,58
Callao,Junin,58
Ica,Cusco,58
Ancash,Huanuco,57
Ucayali,Cusco,57
Piura,Junin,57
Piura,Tacna,57
Loreto,Amazonas,57
Junin,Piura,56
Piura,Callao,56
La Libertad,Cusco,55
Amazonas,Lambayeque,55
Ancash,Ucayali,55
La Libertad,Piura,55
San Martin,Piura,55
Ucayali,San Martin,54
Cusco,Lambayeque,54
Tumbes,Tacna,54
Ica,Cajamarca,54
Ica,Ancash,54
Apurimac,Arequipa,54
Arequipa,La Libertad,54
Tumbes,Cusco,53
Madre De Dios,Cusco,52
Piura,Ica,52
Lambayeque,Callao,52
Lambayeque,Ancash,52
Ancash,Tumbes,52
Arequipa,Ucayali,52
Ayacucho,Arequipa,52
Junin,Ayacucho,51
Junin,Ucayali,50
Cusco,Ayacucho,50
Callao,Ica,50
Arequipa,Piura,49
Junin,Tacna,49
Tumbes,Ancash,48
Tacna,Junin,48
Ica,Tacna,48
Piura,Amazonas,48
Cajamarca,San Martin,48
Cusco,Amazonas,48
Ucayali,Ancash,48
Cajamarca,Tumbes,48
San Martin,Amazonas,47
Ayacucho,Cusco,47
Lambayeque,Piura,47
Ica,Callao,47
Tumbes,Junin,46
Tacna,Ica,46
San Martin,Callao,46
Moquegua,Tacna,46
Tacna,Ucayali,46
Ancash,Ayacucho,46
Cusco,Huanuco,45
Ucayali,Piura,45
Cajamarca,Ucayali,45
Cajamarca,Tacna,44
Loreto,Huanuco,44
Huanuco,Loreto,44
Arequipa,Ica,44
Madre De Dios,Piura,43
Junin,Cajamarca,43
Amazonas,Callao,43
Lambayeque,Arequipa,43
Ica,Junin,43
Tacna,Loreto,42
Junin,Pasco,42
Pasco,Junin,42
Ucayali,Ica,42
Loreto,San Martin,42
Arequipa,Loreto,42
La Libertad,Lambayeque,42
Ancash,Arequipa,42
San Martin,Cajamarca,41
Huanuco,Cajamarca,41
Junin,Huanuco,41
Arequipa,Amazonas,41
Cajamarca,Junin,41
Tumbes,Cajamarca,40
Huancavelica,Junin,40
Loreto,Junin,40
Ancash,Lambayeque,40
Amazonas,San Martin,40
La Libertad,Arequipa,40
Tacna,Ayacucho,39
Callao,La Libertad,39
Callao,Lambayeque,39
Ucayali,Callao,39
Arequipa,Lambayeque,39
Lambayeque,La Libertad,39
Apurimac,Ucayali,39
Huanuco,Ancash,39
La Libertad,Callao,39
Ica,Loreto,39
Madre De Dios,Cajamarca,39
Huanuco,Cusco,39
Huanuco,Tacna,39
Loreto,Apurimac,38
Cusco,Puno,38
Cajamarca,Ica,38
Ucayali,Arequipa,38
Huanuco,Callao,38
Loreto,Piura,37
Arequipa,Tumbes,37
Junin,Madre De Dios,37
Huanuco,Junin,37
Ica,Piura,37
Moquegua,Ancash,36
Ancash,Amazonas,36
Amazonas,Junin,36
Tacna,Tumbes,36
Loreto,Cajamarca,36
Arequipa,Huanuco,36
Piura,Ucayali,36
Huanuco,Ica,36
